#kic,P,q,reflection,beaming,ellipsoidal
6131659, 17.5278275937, 0.765135135135, 5.50476163128e-06, 0.000324667617302 -7.03911946762e-06
8262223, 1.61301477611, 0.01, -0.000170647281698, -0.000311052836975 -0.0137500825405
8560861, 31.9732944094, 0.805765765766, 2.69134199368e-07, 0.000276924156575 0.000375615390015
8572936, 27.795798184, 0.518378378378, -1.9436756358e-05, -0.000118848529201 -4.03318412448e-05
9632895, 27.3220460824, 0.0456756756757, 9.34535685746e-05, 4.12353319238e-05 -3.54713381863e-06
10020423, 7.44837549373, 0.413333333333, 0.000509602843466, 0.000402008605356 -0.00010171231499
10935310, 4.1287952436, 0.978198198198, 0.000111953826074, 0.000584241843955 3.93451321551e-05
12351927, 10.1161449446, 0.365765765766, 3.7531651438e-05, 0.000385916709701 6.51815467659e-06
12644769, 41.0775903209, 1.0, -0.001, 0.001 -0.000175197847828
2305372, 1.40469174951, 1.0, -0.018647553778, 0.00655724236122 -0.0249232872388
3440230, 2.88110043776, 1.0, -0.0118816592299, 0.00145177628002 -0.0207558259986
4574310, 1.3062201641, 0.0436936936937, -0.00926147744482, -0.000458288715308 -0.030915497428
4851217, 2.4702840132, 0.885045045045, -0.00138791110722, -6.77834257751e-06 -0.0149280026918
8262223, 1.61301477611, 0.01, -0.000170647281698, -0.000311052836975 -0.0137500825405
8823397, 1.50650371324, 0.0823423423423, -0.00128112432434, -0.000244615018705 -0.0144629391231
9159301, 3.04477187905, 1.0, -0.0137975098042, 0.000895863246891 -0.0128019948373
10581918, 1.80186366147, 1.0, -0.00642636240764, 0.00125748140416 -0.0170719458134
10619109, 2.0451664056, 0.01, -0.00704436542717, -0.00259270214234 -0.0143016902814

#cross-reference RV mass function with short-period ellipsoidal coefficient derived ones
#condor mcmc age distribution prior and radius fudge factor <--- do this soon in the background 

