#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
4375101 1.022873e+00 3.7628 3.7641 4.25 4.24
4678171 3.865356e-01 3.6899 3.6341 4.63 4.67
4815612 4.418551e-01 3.7999 3.7626 4.36 4.51
4839180 2.447211e-01 3.8040 3.7526 4.24 4.55
4840818 2.227706e-01 3.8156 3.7455 4.28 4.52
5003117 6.795642e-04 3.7485 3.4832 4.05 4.96
5080652 3.447362e-01 3.8937 3.8292 4.30 4.43
5091614 2.933817e-01 3.8815 3.8129 4.34 4.51
5115178 6.800130e-02 3.7807 3.6331 4.16 4.37
5263802 8.023556e-01 3.8259 3.8229 4.13 4.20
5285607 4.429450e-01 3.8246 3.8143 3.98 4.22
5384802 2.757113e-01 3.7947 3.7609 4.13 4.48
5444392 1.090961e+00 3.7737 3.7553 4.06 3.95
5700330 5.328196e-03 3.7536 3.5613 3.87 4.74
5728283 2.463738e-03 3.7903 3.5502 3.93 4.85
5730394 2.108438e-01 3.7726 3.7590 3.92 4.45
5876805 6.977082e-03 3.7276 3.5524 3.93 4.78
5979863 1.310094e-03 3.7478 3.4823 4.59 5.13
5983348 6.560379e-03 3.7931 3.5570 4.20 4.79
6063448 7.789456e-03 3.8527 3.6160 4.06 4.68
6185717 3.109310e-02 3.7882 3.5960 4.43 4.70
6220470 9.728327e-03 3.8604 3.6608 3.93 4.64
6227560 2.798637e-01 3.7205 3.6472 4.55 4.63
6231401 2.481422e-01 3.8394 3.7762 4.19 4.43
6431670 9.914629e-01 3.7175 3.7171 4.49 4.49
6449358 1.074850e-02 3.8480 3.6347 4.05 4.65
6468938 2.213721e-01 3.8108 3.7464 4.26 4.53
6522750 2.732754e-01 3.7746 3.7130 4.38 4.58
6523216 9.345192e-04 3.8021 3.5474 3.83 4.98
6546508 3.021397e-01 3.7614 3.7410 4.14 4.52
6607610 5.502390e-03 3.6730 3.5551 3.40 4.69
6672229 1.043575e+00 3.7418 3.7426 4.30 4.29
6707942 1.538528e-03 3.6730 3.4509 4.63 5.19
6762829 9.028617e-04 3.7538 3.5081 3.94 4.96
6766748 1.928494e-01 3.8293 3.7538 4.26 4.54
6781535 2.609583e-01 3.7955 3.7601 4.11 4.46
6877673 2.344331e-01 3.7940 3.7719 3.99 4.44
6939670 9.128059e-02 3.7774 3.6565 3.97 4.20
6947666 1.294538e-03 3.7664 3.5001 4.24 4.99
6965293 6.592327e-01 3.8031 3.7986 4.15 4.28
7009828 4.883285e-01 3.7669 3.7356 3.98 4.10
7024530 1.194629e-02 3.7478 3.5300 4.56 4.86
7025851 6.743019e-01 3.7800 3.7676 4.36 4.46
7121885 4.434108e-02 3.7793 3.6475 4.12 4.65
7136958 8.240131e-02 3.7646 3.6696 4.13 4.63
7200102 1.165803e+00 3.7203 3.7271 4.48 4.46
7212722 1.164414e-01 3.8629 3.7495 4.24 4.54
7257373 8.272022e-01 3.8005 3.8032 4.07 4.16
7541502 2.337633e-02 3.7253 3.5487 4.58 4.92
7597703 1.236732e+00 3.7882 3.7713 4.15 4.00
7732791 1.118314e+00 3.6219 3.6281 4.65 4.65
7751562 1.937743e-03 3.7763 3.5245 4.06 4.90
7838639 5.369742e-01 3.8033 3.7811 4.27 4.41
7846730 2.087756e-01 3.8312 3.7881 4.08 4.49
7943602 2.980698e+01 3.8117 3.7287 4.52 2.96
7950775 1.728375e-01 4.0732 3.7999 4.54 4.24
7970629 6.398747e-01 3.8112 3.8015 4.21 4.34
7970760 9.487814e-02 3.8079 3.7182 4.12 4.60
8023317 1.288839e-03 3.7629 3.5140 3.94 4.88
8128965 1.010099e-01 3.7710 3.7065 4.04 4.55
8177798 3.458124e-01 3.8676 3.8276 4.02 4.24
8210721 2.000119e-03 3.7355 3.4989 4.09 4.87
8229048 7.510716e-02 3.8481 3.7563 4.04 4.64
8264097 2.210274e-02 3.7441 3.5462 4.47 4.43
