#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
6182849 1.351199e-01 3.8002 3.6986 4.35 4.61
6205460 9.802260e-01 4.1840 3.8428 4.26 3.39
6206751 1.414591e-01 3.8567 3.7245 4.04 4.23
6228703 3.075759e-01 3.9528 3.8784 4.15 4.31
6233466 1.236754e-01 3.8801 3.7933 4.12 4.56
6233903 3.987752e-01 3.7864 3.7769 4.03 4.34
6283224 5.216792e-01 3.7854 3.7533 4.44 4.54
6286161 1.586862e-01 4.1823 3.9704 4.43 4.55
6301030 9.739520e-01 3.7492 3.7486 4.36 4.36
6307537 5.212464e+00 3.7684 3.6790 4.32 3.26
6311637 1.435561e-02 3.7887 3.6305 3.89 4.64
6312521 1.594622e-01 3.7434 3.6556 4.42 4.63
6314173 7.261476e-02 3.9332 3.7177 3.98 4.11
6359798 4.336136e-01 3.7563 3.7544 4.13 4.45
6362386 2.832864e-03 3.8341 3.5519 4.16 4.81
6363494 1.605338e-01 4.1292 4.0043 4.19 4.54
6367628 2.365647e-01 3.9010 3.7599 3.47 3.52
6421188 2.708261e-03 3.7663 3.5322 4.16 4.96
6448768 4.249298e-03 3.8256 3.6041 3.85 4.76
6449552 1.284524e-01 3.7561 3.6341 4.53 4.60
6464285 5.853195e-02 3.8057 3.6611 4.30 4.65
6466939 8.552192e-01 3.9961 3.9585 4.57 4.51
6470516 1.481514e-01 3.6599 3.5282 4.12 3.45
6504534 2.058357e-02 3.7051 3.5140 4.64 4.78
6521542 8.062500e-01 3.8453 3.8337 4.39 4.43
6525196 5.904229e-01 3.7919 3.7788 4.28 4.43
6525209 4.174393e-02 3.7483 3.6578 3.86 4.65
6531496 1.413938e-01 3.7654 3.6956 4.16 4.57
6543674 7.945982e-01 3.7621 3.7821 3.95 4.12
6545018 2.830264e-01 3.7982 3.7801 3.99 4.39
6548447 6.558305e+00 3.7932 3.7618 4.39 3.57
6591789 1.387098e-01 3.7949 3.6832 4.37 4.53
6593363 3.002071e-03 3.7813 3.5337 4.19 4.92
6594972 1.122878e-01 3.7733 3.6520 4.45 4.65
6610219 1.123109e+00 3.8045 3.8040 4.17 4.13
6629588 1.343214e-01 4.0026 3.7589 3.91 3.82
6695889 1.364821e-01 3.8369 3.7062 4.37 4.50
6697716 1.533832e-01 3.8186 3.7292 4.36 4.69
6706287 6.851866e-01 3.7369 3.7106 4.48 4.49
6778050 5.323747e-01 3.7932 3.7759 4.32 4.50
6778289 1.913447e-01 3.8557 3.7950 4.11 4.47
6841577 1.758278e-02 3.9270 3.6727 4.34 4.71
6852488 1.467183e-02 3.8138 3.5951 3.79 4.01
6859813 6.415077e-01 3.7980 3.7899 4.12 4.24
6863840 8.277633e-01 3.6942 3.6822 4.48 4.49
6864859 1.457803e+00 3.8413 3.8479 4.22 4.10
6891512 1.427225e+00 3.7957 3.7915 4.23 4.09
6927629 4.910922e-01 3.7751 3.7473 4.34 4.48
6948815 2.625400e-02 4.3118 3.8499 4.28 4.22
6949550 1.013638e+00 3.7689 3.7693 4.39 4.39
6956216 4.533485e-03 3.8374 3.6019 3.92 4.73
6962018 4.490243e-01 3.6611 3.6166 4.58 4.60
7021177 7.628000e-01 3.7624 3.7526 4.40 4.46
7025540 7.400919e-01 3.6606 3.6399 4.52 4.52
7033748 1.072396e+00 3.8462 3.8284 3.85 3.75
7037405 1.512268e+01 4.1257 3.9892 4.09 2.54
7049486 6.699684e+00 3.7387 3.9131 4.15 4.09
7097571 2.866535e-02 4.0337 3.8409 3.82 4.45
7105574 2.419176e-01 3.8021 3.7716 4.08 4.47
7108433 1.607516e-01 3.9675 3.7500 4.13 4.05
7118545 2.948151e-02 3.8065 3.6218 4.30 4.68
7122259 1.364499e+00 3.7727 3.7888 4.15 4.10
7125636 8.675335e-01 3.6692 3.6610 4.61 4.62
7128918 4.245215e-01 3.7612 3.7487 4.19 4.47
7129465 7.114786e-01 3.7401 3.7230 4.50 4.55
7132542 9.682739e-01 3.6344 3.6321 3.84 3.84
7133286 1.087219e+01 3.8308 3.6996 4.12 2.59
7137798 2.943729e-02 3.8240 3.6356 3.90 4.21
7177553 6.018541e+00 3.7975 3.9171 4.57 4.40
7177892 3.035241e-02 3.8738 3.6496 4.18 4.42
7199774 6.419400e-03 3.7805 3.5392 4.29 4.77
7203179 2.118962e-01 3.8618 3.7501 3.80 3.97
7212066 6.779023e-02 3.8050 3.6858 4.19 4.64
7258889 1.472500e-01 3.8824 3.7291 4.17 4.27
7295570 7.695275e-02 3.7601 3.6315 4.05 4.21
7336754 4.732877e-02 3.7855 3.6886 3.94 4.63
7362852 7.211982e-01 3.7814 3.7777 4.15 4.26
7365447 9.670971e-02 3.8286 3.6968 4.21 4.45
7368103 7.056777e-02 4.0859 3.9233 3.76 4.24
7369523 1.021971e+00 3.7799 3.7790 4.11 4.10
7374746 5.475472e-01 3.8634 3.8263 4.41 4.48
7376500 1.565275e-01 3.7560 3.6633 4.38 4.61
7377033 4.192057e-02 3.7444 3.5703 4.56 4.74
7385478 1.530943e-01 3.7284 3.6292 3.99 3.97
7436177 1.332928e+00 3.8158 3.8107 4.17 4.04
7605600 4.886332e-02 3.5799 3.4981 4.75 5.06
7620844 1.132159e-01 3.7243 3.5988 4.60 4.68
7624297 1.141279e-02 3.7492 3.5343 4.47 4.85
7630658 6.287655e-01 3.7913 3.7668 4.14 4.22
7670485 7.554268e-01 3.7580 3.7400 4.34 4.37
7670617 3.702405e-02 3.9324 3.7227 4.31 4.63
7671594 5.163493e-01 3.5600 3.5407 4.99 5.01
7677005 3.859415e-01 3.8314 3.8039 4.11 4.34
7691527 8.766092e-01 3.7292 3.7218 4.57 4.58
7700578 2.100727e-01 3.8337 3.7369 3.97 4.19
7708193 1.459407e-01 3.7644 3.7561 3.76 4.40
7750740 2.201442e-02 3.8013 3.5929 4.39 4.65
7767733 1.519118e+00 3.7668 3.7847 4.46 4.38
7770471 1.613075e-01 3.9154 3.7503 4.12 4.17
7798259 2.337742e-01 3.6906 3.6082 4.58 4.65
7812175 9.316317e-02 3.5895 3.4749 4.52 4.39
7816680 3.060956e-01 3.8018 3.7516 4.30 4.52
7821010 8.154636e-01 3.8139 3.8056 4.32 4.36
7866921 3.825704e-02 3.8296 3.7629 3.71 4.66
7885570 5.924158e-02 3.8019 3.7360 3.83 4.56
7898576 1.814948e-01 3.8328 3.8072 3.90 4.45
7919653 1.700540e-01 3.7958 3.7617 3.99 4.48
7960547 7.196173e-01 3.7691 3.7553 4.47 4.53
7985167 2.685389e-01 3.7894 3.7735 4.03 4.43
7987749 4.467849e-01 3.7713 3.7309 4.47 4.59
8008128 3.996717e-03 3.7753 3.5424 4.14 4.88
8009500 1.067766e-02 3.7782 3.5546 4.43 4.88
8016214 2.700844e+00 3.7890 3.7577 4.27 3.79
8019043 2.443894e-03 3.9008 3.5709 4.45 4.99
8044608 2.634307e-02 3.8135 3.6284 4.25 4.67
8081389 8.566045e-02 3.8900 3.7123 4.03 4.22
8088354 4.321153e-02 3.8392 3.6164 4.44 4.51
8097825 1.387043e-01 3.8521 3.7961 3.88 4.35
8098300 3.480309e-01 3.8267 3.7906 4.18 4.42
8111622 3.150888e-02 3.7626 3.5771 4.45 4.72
8112013 2.304903e-03 3.8867 3.5839 4.12 4.90
8129189 3.306937e+00 3.7947 3.7017 4.20 3.37
8143170 2.253415e-02 3.6964 3.6430 3.43 4.61
8153568 2.195687e-01 4.0468 3.7711 3.80 3.50
8155368 6.155235e-02 3.8030 3.6874 4.17 4.74
8183389 4.039068e-01 3.7356 3.6846 4.56 4.63
8193315 4.958902e-02 3.9229 3.7460 4.19 4.54
8195877 2.379172e-01 3.8288 3.7615 4.28 4.52
8196180 2.298161e-01 3.8681 3.8267 4.01 4.41
8211824 4.052009e-01 3.7655 3.7197 4.46 4.58
8234477 5.254058e-02 3.8460 3.7729 3.76 4.51
8240109 2.121082e-01 4.1121 3.7540 4.20 3.70
8244173 1.000677e+00 3.6457 3.6458 4.53 4.53
8262223 1.400874e-01 3.8693 3.8044 3.97 4.42
8296467 5.170409e-01 3.7709 3.7304 4.54 4.58
8308347 1.508758e+01 3.8079 3.7259 4.36 2.92
8312222 5.120193e+00 3.7393 3.7990 4.54 4.20
8314801 3.010468e-01 3.7597 3.7665 3.90 4.35
8316503 3.101441e-02 4.0498 3.7855 4.26 4.59
8330575 3.518664e-01 3.9443 3.9410 3.99 4.36
8364119 7.509708e-01 3.7635 3.7518 4.42 4.48
8374499 6.358678e-02 3.7980 3.6619 4.25 4.55
8378656 3.213564e-02 3.8103 3.6835 3.97 4.62
8380743 2.392772e+00 3.8116 3.7976 4.24 3.86
8381592 1.561184e-01 3.7719 3.6712 4.46 4.64
8414914 3.301865e-01 3.7183 3.6715 4.39 4.56
8429450 5.255648e-01 3.8505 3.8211 4.15 4.25
8444552 1.769406e-01 3.7802 3.6660 4.37 4.47
8453191 6.715924e-01 3.7744 3.7540 4.14 4.20
8460600 2.545863e-03 3.8041 3.5360 4.43 5.04
8479107 3.910979e-01 3.7175 3.6706 4.48 4.59
8479386 1.368237e+00 3.7971 3.7817 4.11 3.93
8552540 1.160231e+00 4.1396 4.0133 4.60 4.21
8553788 1.907652e-01 3.9300 3.8548 3.87 4.17
8553907 1.113662e+00 3.8153 3.8199 4.36 4.34
8559863 5.119934e-01 3.7508 3.7187 4.07 4.16
8560861 9.900956e-02 3.9082 3.8545 3.67 4.28
8561192 1.705631e-01 4.0217 3.7602 3.88 3.73
8565912 1.087241e-01 3.8719 3.7172 3.98 4.17
8572936 8.610591e-01 3.7744 3.7694 4.33 4.36
8589754 5.695136e-01 3.8338 3.8096 4.32 4.43
8590780 9.330217e-01 3.7996 3.7962 4.45 4.46
8604993 7.833082e-02 3.8317 3.6668 4.22 4.39
8608490 3.715498e-01 3.7603 3.7153 4.40 4.57
8621026 4.339722e-02 4.0705 3.8207 4.24 4.55
8621353 8.966608e-02 3.7726 3.6369 4.49 4.73
8700506 1.321908e+00 3.9041 3.9100 4.22 4.14
8701327 5.898484e-01 3.7894 3.7749 4.25 4.38
8711548 2.811323e-01 3.8577 3.7764 4.24 4.35
8736245 1.866491e-01 3.8648 3.7794 4.27 4.53
8746310 3.016277e-02 3.7732 3.5910 4.41 4.78
8760135 1.018621e+00 3.7443 3.7448 4.33 4.33
8773948 1.160627e-01 3.7992 3.7625 3.82 4.42
8780968 6.139153e-01 3.7466 3.7274 3.87 3.93
8784288 4.594064e-01 3.8670 3.8220 4.32 4.42
8801343 7.020241e-04 3.7978 3.5276 3.92 4.98
8823397 1.687925e-01 3.8592 3.7293 4.09 4.24
8845221 1.876867e-01 3.8561 3.8175 3.95 4.40
8868907 1.343004e-01 3.7775 3.7004 4.19 4.60
8878681 7.309302e-04 4.0246 3.5418 4.39 4.75
8935352 7.995798e-01 4.0835 3.8886 3.95 3.51
8939650 9.323818e-02 3.7885 3.7083 4.08 4.56
8940961 1.918181e-01 3.8098 3.7258 4.26 4.46
8953426 7.871661e-01 3.7966 3.7840 3.98 4.02
8973000 2.264913e-01 3.7712 3.7455 4.03 4.48
8984706 9.506452e-01 3.7808 3.7786 4.44 4.45
9001468 7.225961e-02 3.7321 3.5884 4.52 4.70
9007918 1.411404e-02 3.8021 3.6127 4.09 4.64
9016295 3.552098e-03 3.7713 3.5250 4.33 4.94
9020426 9.231840e-01 3.7358 3.7309 4.30 4.30
9025914 5.658653e-02 3.7622 3.6166 4.35 4.63
9053086 3.850689e-02 3.8411 3.6311 4.22 4.39
9098590 2.882475e-03 3.8617 3.5812 4.12 4.89
9101400 3.955592e-01 3.8187 3.8036 4.05 4.33
9108058 1.638810e-01 4.0696 3.7415 4.10 3.73
9119405 4.181760e-01 3.7780 3.7850 3.92 4.27
9119652 5.309285e-01 3.7669 3.7340 4.48 4.56
9159301 1.268187e-01 4.0347 3.7371 3.86 3.68
9163674 5.514278e-01 3.8026 3.7881 4.19 4.34
9164836 1.139559e-01 3.7916 3.6794 4.37 4.65
9179531 9.238955e-01 3.7282 3.7236 4.23 4.24
9205993 1.229591e-01 3.9721 3.7465 4.22 4.13
9207508 1.133198e-01 3.9609 3.7381 3.89 3.93
9210828 6.321874e-01 3.7842 3.7619 4.41 4.48
9236858 6.377824e-02 3.8971 3.7500 4.14 4.52
9246715 9.765539e-01 3.6962 3.6934 2.93 2.92
9266285 2.449606e-02 3.8015 3.6619 3.98 4.64
9282687 3.593106e-02 3.8101 3.6224 3.99 4.20
9284741 1.364643e+00 3.7760 3.7903 4.61 4.55
9291368 1.474421e-01 4.0374 3.7546 3.85 3.67
9291748 1.093868e+00 3.8117 3.7138 3.96 3.53
9343862 9.114151e-02 4.1008 3.8411 4.29 4.31
9344623 5.378595e-01 3.8089 3.7999 4.14 4.32
9353182 1.006446e-02 3.7820 3.5874 4.01 4.69
9357275 3.917477e-02 4.0034 3.8002 4.10 4.54
9392702 5.102896e-02 3.8105 3.7091 3.99 4.62
9411317 2.161070e-02 3.6499 3.5057 4.67 4.70
9451096 1.080764e-01 3.9119 3.7936 4.16 4.50
9468384 7.230251e-02 3.7858 3.6700 4.23 4.62
9474485 9.586361e-01 3.6939 3.6920 4.51 4.52
9474969 1.303640e-01 3.8114 3.8094 3.69 4.42
9479460 2.393588e-01 3.9733 3.7664 4.16 3.99
9520700 2.410627e-01 3.9123 3.8284 4.28 4.47
9529733 1.133756e-01 3.8277 3.8148 3.71 4.49
9532123 1.193592e-01 3.7616 3.6794 4.19 4.59
9532421 5.415979e-03 3.6745 3.4946 4.67 5.17
9540450 2.880980e-01 3.7745 3.7156 4.31 4.45
9549472 6.211454e-03 3.8088 3.6020 3.90 4.71
9569866 1.249320e-01 3.7881 3.6820 4.38 4.62
9597095 2.516372e-02 4.1635 3.7367 4.49 4.38
9602595 1.437377e-01 4.0935 3.7495 3.93 3.64
9613070 8.964346e-03 3.8450 3.5889 4.30 4.71
9632895 2.642969e-03 3.7424 3.5011 4.54 5.08
9635529 3.298517e-01 3.8093 3.7856 4.08 4.38
9637299 8.150392e-02 3.7744 3.6527 4.34 4.58
9641031 2.864828e-01 3.8094 3.7271 4.35 4.43
9649222 2.630271e-03 3.7602 3.5062 4.39 4.97
9652632 4.248048e-01 3.8110 3.8033 4.02 4.29
9656543 7.578631e-01 3.7377 3.7240 4.50 4.54
9658118 8.571703e-01 3.9306 3.9373 3.94 4.02
9673173 9.433618e-01 3.8199 3.8188 4.11 4.13
9711751 4.476541e-01 3.8378 3.7742 4.24 4.24
9715925 1.576559e-01 3.7056 3.6012 4.57 4.66
9762519 8.036773e-02 3.7677 3.6255 4.48 4.66
9767392 1.200933e+00 3.7954 3.7906 4.10 4.02
9774400 5.338812e-03 4.0303 3.8456 3.25 4.47
9777062 9.164806e-01 3.8828 3.8642 4.22 4.16
9784230 1.033766e+00 3.5294 3.5304 4.42 4.43
9818732 6.193770e-01 3.8011 3.7932 4.18 4.32
9832545 1.083887e-01 4.0456 3.8382 4.15 4.25
9837544 7.800140e-01 3.7083 3.6935 4.59 4.61
9837578 5.033044e-01 3.7776 3.7444 4.41 4.51
9843435 9.030514e-02 3.8499 3.7132 3.73 4.06
9850387 6.572115e-01 3.8943 3.8164 4.16 4.02
9851142 9.689665e-03 3.8704 3.6680 3.90 4.65
9892471 3.294604e-02 3.7524 3.5763 4.39 4.68
9896435 1.736418e-02 3.6257 3.4863 4.82 4.97
9907505 1.905661e-02 3.7603 3.5426 4.58 4.74
9913481 4.128138e-01 3.9077 3.8912 3.81 4.06
9934208 8.327440e-03 3.7212 3.5252 4.59 5.04
9936698 2.192162e-01 3.8644 3.7874 4.21 4.44
9945280 2.703887e-02 4.0773 3.7189 4.40 4.41
9948002 4.466774e-02 3.7854 3.6751 4.03 4.62
9954225 1.451175e-01 4.0324 3.7499 4.23 4.02
9966115 3.550131e-03 3.8351 3.5592 4.28 4.91
9970396 1.710228e+01 3.8060 3.6968 4.34 2.83
9971475 1.461033e-01 3.7773 3.6871 4.32 4.60
