#KIC msum mrat z age dist ebv h0 period tpe esinw ecosw b q1 q2 q3 q4 lcerr isoerr ln(sigma_ebv) ln(sigma_d) c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 morph
10000490 4.835520511202541 0.50923193505569 0.030270640211364146 8.318072356450266 1194.8376558360612 0.48607222839192415 119.0 1.4009917648523866 121.24595560292126 0.05077528728532982 0.0007537311085209818 1.2129374834814635 0.5106270176956611 0.005718482206416109 5.51930386021894e-07 0.9074079049264645 -7.327124817878467 -2.850016873022426 -1.0714773458503304 6.090938994787495 0.9992 0.9992 0.9992 0.9992 0.999 0.9992 0.9993 0.9991 0.999 0.9992 0.9993 0.9991 0.9991 0.9992 0.9993 0.9991 0.999 0.9992 0.56
10031409 2.27510801792 0.95360218254 0.0137600838787 9.27518620603 963.478085457 0.21168884623 119.0 4.14387937935 124.549181003 0.00396823878085 5.97899402709e-06 0.939961032388 0.173202154524 0.38582468687 0.362430813384 0.198398207499 -7.24126505762 -3.51865902526 -11.1304074506 0.0389406318591 0.991701733912 0.990929547068 0.98980186313 0.986422349497 0.986735341006 0.991005558371 0.992735767976 0.0 0.988752574096 0.98870161664 0.992522452993 0.0 0.988738213767 0.989902275533 0.985077387354 0.0 0.987737348646 0.990370895397 0.35
10031808 3.87623385803 0.988976083284 0.0513139038199 6.87880122712 446.156881155 0.217801183403 119.0 8.58964269944 123.431082187 0.264706564641 -0.0193207696128 1.12004941675 0.460982375554 0.161827774551 0.0910048786172 0.983807239779 -7.14284712366 -20.2932884182 -11.7374125332 3.61297552865 0.996136958446 0.992266933237 0.996655016118 0.995793604633 0.993739375921 0.995299128108 0.998774270366 0.0 0.991743722069 0.99512132932 0.998335415517 0.0 0.992657695564 0.995693907691 0.997241497035 0.0 0.992848946051 0.995856864496 0.28
10074700 2.6253621932649245 0.41836145694919546 0.050811305824509045 9.212891963882246 2922.180725106712 0.07300718706170813 119.0 365.63388431004404 238.983806912824 0.28085450966971465 -0.019124255499423023 -0.6222187146089105 0.4686937033891221 0.33097907868291454 0.06298593330332442 0.9157833092189582 -8.14225423092841 -3.0833016370654445 -9.72873399915404 -5.759045799165762 0.0 0.9908 0.982422766046 0.9891 0.972216767163 0.9904 0.989426740683 0.9891 0.97955499447 0.9905 0.925192219338 0.9891 0.999411181475 0.9904 0.999999976103 0.9891 0.99454998536 0.9905 0.02
10155080 2.80056711207 0.747387119021 0.0143400543917 8.96730245199 1023.19473473 0.435291732209 119.0 3.86090285338 124.048957408 -0.0163282263958 3.44636655495e-05 1.26184804609 0.303630014835 0.908053039365 0.343595281261 0.935450611662 -7.99690478336 -3.27084725731 -1.32438947901 0.0 0.9954 0.9954 0.9945 0.9955 0.9948 0.9953 0.9945 0.0 0.9948 0.9953 0.9945 0.0 0.9937 0.9953 0.9945 0.0 0.9937 0.9953 0.29
10156064 3.63150625167 0.730299006512 0.0444266232958 8.28117676323 593.279972546 0.085600928658 119.0 4.85593642925 121.458915661 0.0101523752208 0.000148151270582 1.16748874975 0.199713541524 0.40186201735 0.284238156895 0.290418480771 -8.66050660499 -21.3759053 -11.9883102192 4.09627465166 0.960241694882 0.960898149809 0.963144895636 0.959084042432 0.958768264932 0.959837977493 0.964101027441 0.0 0.959386243355 0.960876370274 0.964152707121 0.0 0.959424841895 0.961471939584 0.964227891696 0.0 0.959923347978 0.96190508028 0.32
10215422 1.83238450239 0.643063241277 0.0477480213022 9.60686136384 1060.9958443 0.0945982383029 119.0 24.8470863158 154.127775273 0.00139515100466 0.291804816906 0.507769766605 0.481633737623 0.288271163443 0.193850921277 0.964199549795 -7.72680447115 -3.75943320287 -11.7150948389 -0.668228267697 0.0 0.981353660001 0.982889282665 0.980809875783 0.982781298986 0.981701372217 0.983041353088 0.981539731442 0.981840499332 0.978929810722 0.983722646961 0.980763278969 0.985226650507 0.980719862496 0.982977305454 0.981902745055 0.98341861728 0.980373246403 0.07
10215869 1.03122464937 0.150059988883 0.00163928882592 7.12196310344 733.393062273 0.0999974635348 119.0 5.01723994895 169.610918327 0.0070703134954 0.000188556420983 -0.00319099164983 0.0647363610234 0.651224852552 0.762379785438 0.600947410043 -7.3764871649 -2.51378209928 -11.6395163306 5.29348196639 0.0 0.0 0.0 0.0 0.0 0.0 0.892491983206 0.0 0.0 0.0 0.889435566787 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24
10258558 1.88828639009 0.915082983406 0.00769617496158 9.73069583596 1270.6589436 0.148248257087 119.0 20.8678548556 136.403982952 -0.00622123764282 0.0207527820314 1.29491975346 0.349191583093 0.415837162548 0.381010272317 0.311965718453 -8.81168070943 -3.52765897136 -2.96549668909 -0.593600765842 0.0 0.988829797486 0.994777649943 0.992002040858 0.996325449639 0.991802219492 0.995428651681 0.992866280153 0.996867275597 0.98983532218 0.995902956045 0.993723045229 0.995014627778 0.9889658629 0.995269761107 0.993046342523 0.994741021181 0.990248558366 0.11
10259029 0.842179488602 0.274726406509 0.0147117669171 7.69784204339 699.150535395 0.0473947172779 119.0 7.06114804603 169.864813467 -0.0620053126456 0.134331553134 0.87251463617 0.29097101221 0.988583853662 0.0034234871643 0.126042141013 -6.40776362694 -0.795170386457 -11.2105718153 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.449807048072 0.925233710402 0.840621690405 0.528068900759 0.447270468343 0.911836718317 0.835854653796 0.527453016953 0.12
