#Note: distances quoted are in parsecs, Gaia distances are from Bailer-Jones+2018;
# primary and secondary eclipse depths and morphology are taken from Villanova EB catalogue;
# ETV flag from visual inspection, where 0=False, 1=True, and keywords 'b', 'r', 'c' refer
# to triple identification by Borkovits+2016, Rappaport+2012, Conroy+2014, respectively.
#KIC keblat_dist keblat_dist_err gaia_dist gaia_dist_err rel_dist_err pe_depth se_depth morph etv_flag
10960995 421.49 44.00 609.65 6.18 0.3086 0.058 0.038 0.30 0
10965963 1393.12 18.49 1322.01 25.56 0.0538 0.214 0.182 0.22 0
10979716 505.42 22.45 540.19 9.39 0.0644 0.078 0.055 0.10 1b
10987439 381.94 5.67 370.32 4.32 0.0314 0.016 0.013 0.10 0
10992733 1360.41 30.26 1427.35 49.97 0.0469 0.405 0.269 0.08 0
11071207 3337.94 156.47 1712.27 51.03 0.9494 0.266 0.134 0.16 1
11073223 1580.15 18.74 1642.02 63.81 0.0377 0.288 0.136 0.11 0
11076279 2920.74 79.41 2184.68 79.13 0.3369 0.228 0.085 0.55 0
11147276 1100.36 24.33 975.55 15.30 0.1279 0.113 0.068 0.31 0
11198723 1847.00 25.38 1745.10 92.80 0.0584 0.117 0.037 0.17 0
11228612 1244.80 7.51 1110.84 33.48 0.1206 0.349 0.078 0.33 0
11233911 1494.62 12.76 1468.09 44.78 0.0181 0.169 0.112 0.33 0
11234677 672.74 7.71 777.07 9.47 0.1343 0.078 0.008 0.43 1b
11235323 1922.88 32.35 1578.52 31.46 0.2182 0.350 0.129 0.29 0
11249624 3857.38 282.08 1985.09 130.32 0.9432 0.218 0.035 0.01 0
11250867 1126.91 23.73 738.01 8.78 0.5270 0.257 0.033 0.38 0
11252617 1447.08 29.76 1677.63 83.86 0.1374 0.114 0.004 0.19 0
11285625 765.69 18.42 523.29 5.24 0.4632 0.116 0.089 0.23 0
11287726 2326.06 105.53 1558.49 50.64 0.4925 0.097 0.033 0.35 0
11391181 1084.40 94.66 1199.49 33.68 0.0960 0.175 0.103 0.12 0
11401845 8052.34 208.33 3560.84 218.07 1.2614 0.410 0.220 0.56 0
11403216 2218.67 49.47 2113.28 138.03 0.0499 0.103 0.003 0.27 0
11409698 905.92 7.43 1007.42 16.18 0.1008 0.254 0.031 0.14 0
11455484 1586.47 125.27 -99.99 -99.99 -99.99 0.115 0.034 0.30 0
11499757 1648.86 11.37 1679.55 47.15 0.0183 0.351 0.274 0.13 1
11506235 1042.21 18.28 864.03 15.34 0.2062 0.089 0.005 0.05 0
11558882 1458.85 97.04 2061.25 94.95 0.2922 0.152 0.003 0.01 1b
11615481 2373.59 38.35 3065.71 279.42 0.2258 0.179 0.146 0.05 0
11616200 1392.15 64.52 929.42 11.81 0.4979 0.199 0.036 0.49 0
11619964 747.57 9.86 994.30 28.01 0.2481 0.144 0.036 0.11 0
11671429 934.80 6.34 893.48 20.92 0.0463 0.233 0.201 0.07 0
11704044 1402.91 30.02 1475.30 73.78 0.0491 0.329 0.330 0.13 0
11724091 1822.93 32.71 1669.19 47.56 0.0921 0.239 0.070 0.55 1
11769146 856.70 5.34 877.06 11.98 0.0232 0.438 0.263 0.01 0
11811454 605.98 26.80 646.14 23.80 0.0622 0.105 0.036 0.47 0
11819135 3158.93 23.00 2774.53 163.15 0.1385 0.119 0.056 0.57 0
11826400 720.20 11.15 728.22 11.52 0.0110 0.061 0.002 0.25 0
11873166 912.33 13.25 823.66 12.12 0.1077 0.121 0.077 0.47 0
11906217 357.57 11.01 450.15 5.05 0.2057 0.095 0.017 0.01 0
11913071 296.08 10.86 303.45 3.67 0.0243 0.189 0.047 0.37 0
11922782 268.04 2.12 234.26 1.47 0.1442 0.231 0.109 0.37 0
11923819 759.25 14.08 941.78 16.80 0.1938 0.211 0.108 0.07 1
11959569 743.63 7.13 727.91 11.66 0.0216 0.356 0.188 0.11 0
11961695 1248.42 42.88 1162.48 30.63 0.0739 0.174 0.043 0.02 0
11966557 2181.34 39.99 2032.54 133.81 0.0732 0.289 0.175 0.06 0
11967004 892.37 23.30 961.54 17.35 0.0719 0.071 0.008 0.34 0
