KIC,M1,dM1,M2,dM2,R1,dR1,R2,dR2,inc,frat,P
5285607,1.557,0.038,1.346,0.033,2.003,0.062,1.679,0.087,1.3656,0.6579,3.8994011
6864859,1.441,0.028,1.354,0.028,1.655,0.012,1.455,0.012,1.5415,0.7256,40.8778419
6778289,1.512,0.022,1.092,0.019,1.748,0.009,0.998,0.005,1.55876,0.19155,30.1301383
4285087,1.137,0.014,1.101,0.014,1.033,0.012,1.026,0.011,1.5210,0.9455,4.4860314
6131659,0.942,0.010,0.703,0.008,0.908,0.003,0.616,0.003,1.5558,0.1480,17.5278276
6781535,1.003,0.039,1.034,0.040,1.199,0.113,1.434,0.114,1.4749,1.0654,9.1220863
