#KIC ID, T1 Final, T1 Final Error, T2 Final, T2 Final Error, R1/D Final, R1/D Final Error, R2/R1 Final, R2/R1 Final Error, T2/T1 Input, Flags, Output Source, T1 UBV, Error, T2 UBV, Error, R1/D UBV, Error, R2/R1 UBV, Error, UBV Bands Used, T1 KIS1, Error, T2 KIS1, Error, R1/D KIS1, Error, R2/R1 KIS1, Error, KIS1 Bands Used, T1 KIS2, Error, T2 KIS2, Error, R1/D KIS2, Error, R2/R1 KIS2, Error, KIS2 Bands Used, T1 KIS3, Error, T2 KIS3, Error, R1/D KIS3, Error, R2/R1 KIS3, Error, KIS3 Bands Used
2167890,4878.29919508,370.234540248,4765.38820129,623.833336997,7.90066473546e-11,5.20152523732e-12,0.666195164169,0.216071493966,0.7,00010,1110,4848.77681703,398.603867419,4802.65839914,774.842213271,7.82300586174e-11,1.12060285515e-11,0.692731175061,0.374627976487,1110000111,4954.5455093,431.718093775,4698.72380723,901.765623114,8.072405273e-11,6.52372987962e-12,0.607447891285,0.252401645977,0000100111,4863.29908993,402.178865934,4766.78426782,698.519870493,7.43168625727e-11,1.14116612004e-11,0.805932869705,0.372692152596,0001000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2302092,5313.03958701,366.622014004,5036.87624235,595.533075569,2.78114585735e-11,4.23830576088e-12,0.755069378134,0.347134097143,0.944218647579,00100,0100,5369.45279214,428.621933425,5135.76931614,600.44025894,2.67617732436e-11,3.85914749542e-12,0.859227943673,0.325461948397,1110000000,5313.03958701,366.622014004,5036.87624235,595.533075569,2.78114585735e-11,4.23830576088e-12,0.755069378134,0.347134097143,0001111000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2305277,6142.44736801,364.436682306,6097.99063298,581.248016703,1.6159987199e-11,1.93791520351e-12,0.735243692094,0.206386730097,0.995194478925,00000,1110,6108.1650936,393.832150058,5760.97338773,876.241270139,1.68185110281e-11,2.18032497015e-12,0.658189719706,0.246704228492,1110000111,6154.71165312,391.710895082,6100.13528803,634.423601669,1.53642842743e-11,2.56020562661e-12,0.834786361946,0.311365102507,0001111111,6161.73648208,389.802947528,6163.52400596,621.931546577,1.56048678556e-11,2.74281944447e-12,0.800667728952,0.346313267536,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2305372,6208.12816565,355.586959968,3942.35002707,558.71565833,3.29231916011e-11,2.11389758495e-12,1.02868282587,0.164247322011,0.659280486269,00100,1110,6259.64759013,361.315049997,3702.58719888,587.748299181,3.07050580486e-11,3.28842634103e-12,1.19168640291,0.172629608133,1110000111,6171.39058415,369.818327088,4080.76855029,591.970513071,3.30919538865e-11,2.59270999912e-12,0.813137165856,0.206954878493,0001111111,6143.64275155,373.303301386,4103.10483684,606.762961251,3.41034316199e-11,2.79381935996e-12,0.713513018072,0.222221211893,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2305543,5917.04860009,361.883767971,5821.25049001,577.755816157,5.09104898608e-11,3.79559561102e-12,0.714859724789,0.216900737468,0.989275228251,00000,1110,5802.27832843,450.044363904,5815.44250416,683.300467014,4.97934825408e-11,5.40035182928e-12,0.775276435487,0.276032586017,1110000111,5967.73681024,381.520408092,5841.51001213,643.302944062,5.06752010252e-11,7.06432446114e-12,0.710398822241,0.352066010944,0001000111,5904.78731662,372.210271672,5807.73370637,627.321449199,5.26913290707e-11,6.3585339571e-12,0.626659635612,0.322604415397,0001000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2306740,6060.75721312,368.874245433,5769.37821323,656.030395348,3.43880053728e-11,3.00437081629e-12,0.702433918625,0.224070115148,0.983651038252,00000,1110,6087.51474272,426.484619364,5078.25168922,1049.28257268,3.44485614736e-11,4.80902624174e-12,0.743995679377,0.316601098067,1110000111,6035.61565428,398.239811926,5971.09227154,836.521325875,3.48915042838e-11,4.3090102409e-12,0.6429778081,0.31241725728,0001111111,6069.19353075,395.973306627,5871.55065525,758.721771281,3.36381756603e-11,4.93028704458e-12,0.728359792844,0.351256807637,0001110111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2306756,5400.42957002,354.22142987,5334.70315396,595.285496599,6.6144128378e-11,5.23100415908e-12,0.612655368446,0.23844478807,0.7,00010,1100,5394.80822992,355.010944146,5353.83504677,602.768498939,6.59366975337e-11,6.60533401494e-12,0.627732282581,0.282036692922,1110000111,5430.27378351,375.84013156,5200.7595529,890.946320126,6.64584835283e-11,8.0450641833e-12,0.589825527955,0.329967431325,0001000111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2307206,5680.23862771,358.703156939,5218.42339414,610.537197913,1.47316691639e-11,1.87554857865e-12,0.651327450624,0.2098130724,0.86396230158,00000,1110,5681.61562947,378.896061541,5174.97302761,720.60294668,1.38562660824e-11,2.47805617998e-12,0.809548266786,0.334029679185,1110000111,5691.02360079,374.600081704,5266.10743331,739.602338268,1.48135037164e-11,2.21369424438e-12,0.627198747132,0.285189336945,0001111111,5668.78821087,373.603429316,5219.45824549,735.325245649,1.51748566359e-11,2.17838718001e-12,0.576436089722,0.278065149376,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2308957,5993.68821921,363.116829515,5825.51917348,562.239436717,2.19447731383e-11,2.54696377999e-12,0.814915489731,0.246411900811,0.97137483245,00000,1100,5945.31976726,384.140357138,5775.81280769,587.112981844,2.19462676953e-11,3.16284964442e-12,0.827050729423,0.309161160857,1110000111,6022.48712966,370.706309627,5868.13989899,580.630704542,2.19431684118e-11,3.24671663507e-12,0.801611683842,0.320340353099,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
2309587,5765.75864128,381.279159505,5576.72707211,773.531968154,3.10199446538e-11,3.06666094502e-12,0.663132546097,0.246630569898,0.7,00010,1100,5616.53102592,482.467496407,5483.90190812,1133.07328395,3.1291736306e-11,4.22720136429e-12,0.681186636155,0.321270658163,1110000111,5804.81310094,389.050272338,5618.26483692,857.681846689,3.08050369111e-11,3.83363712654e-12,0.646808366011,0.308999817937,0001111111,-1,-1,-1,-1,-1,-1,-1,-1,0000000000,-1,-1,-1,-1,-1,-1,-1,-1,0000000000
