# Intersection of KEBs (p>1d) w/ multi-band magnitudes +     Schlafly & Finkbeiner dust extinction values 
#  # KIC, RA,     Dec, Glon, Glat, Teff, logg, Fe/H, U, eU, B, eB, V, eV, g,     eg, r, er, i, ei, z, ez, w1, ew1, w2, ew2, J, eJ, H, eH, Ks,     eKs, E(B-V), std E(B-V) 
#  # Missing mags = -99.999
11825204;297.030400;50.055700;83.389;12.105;7286.000;3.627;-0.120;14.450;0.021;14.291;0.024;13.882;0.018;13.985;-99.999;13.734;-99.999;13.694;-99.999;13.634;-99.999;12.571;0.023;12.581;0.022;12.856;0.022;12.715;0.021;12.649;0.027;0.1504;0.0138
4921906;291.203600;40.079400;72.413;11.231;4968.000;4.575;-0.360;17.197;0.026;16.552;0.025;15.606;0.020;15.976;-99.999;15.150;-99.999;14.872;-99.999;14.631;-99.999;12.890;0.024;12.895;0.025;13.617;0.029;13.101;-99.999;12.963;-99.999;0.0939;0.0034
6387887;298.185400;41.734000;76.407;7.354;10921.000;3.811;0.070;16.253;0.024;17.128;0.027;17.035;0.022;16.862;-99.999;17.096;-99.999;17.410;-99.999;-99.999;-99.999;-99.999;-99.999;-99.999;-99.999;16.894;-99.999;17.614;-99.999;17.038;-99.999;0.2891;0.0487
8288741;287.367900;44.273200;75.119;15.559;5791.000;4.524;-0.320;15.704;0.024;15.363;0.027;14.699;0.020;14.994;-99.999;14.450;-99.999;14.287;-99.999;14.205;-99.999;12.813;0.023;12.831;0.024;13.244;0.021;12.921;0.020;12.843;0.019;0.0639;0.0029
12055255;287.687100;50.537700;81.259;17.724;4219.000;4.619;0.100;-99.999;-99.999;17.777;0.037;16.602;0.023;17.135;-99.999;15.885;-99.999;15.322;-99.999;15.014;-99.999;12.875;0.028;12.909;0.029;13.825;0.026;13.141;0.040;12.952;0.031;0.0591;0.0007
11013201;282.000300;48.542200;77.953;20.522;7221.000;3.488;-0.180;-99.999;-99.999;-99.999;-99.999;21.040;0.348;9.265;-99.999;9.278;-99.999;9.392;-99.999;9.493;-99.999;8.708;0.022;8.743;0.019;8.816;0.022;8.765;0.019;8.736;0.013;0.0534;0.0007
8108785;295.603300;43.925600;77.412;10.074;4469.000;4.625;-0.300;17.604;0.038;16.577;0.040;15.589;0.048;15.781;-99.999;14.714;-99.999;14.318;-99.999;14.121;-99.999;12.305;0.023;12.347;0.023;13.126;0.024;12.482;0.018;12.343;0.021;0.1763;0.0043
1572353;291.188600;37.161600;69.749;9.945;4629.000;4.607;-0.260;-99.999;-99.999;18.577;0.039;17.865;0.027;16.179;-99.999;15.195;-99.999;14.829;-99.999;14.603;-99.999;12.726;0.024;12.742;0.024;13.586;0.024;12.962;0.024;12.835;0.033;0.1800;0.0144
10288502;297.041800;47.393900;81.001;10.836;6363.000;4.444;-0.260;15.528;0.023;15.551;0.028;15.021;0.026;15.177;-99.999;14.748;-99.999;14.630;-99.999;14.568;-99.999;13.229;0.024;13.267;0.026;13.713;0.030;13.381;0.033;13.379;0.043;0.0838;0.0020
9238207;298.496000;45.600100;79.906;9.088;5092.000;4.570;-0.460;17.183;0.025;16.811;0.027;15.992;0.019;16.296;-99.999;15.590;-99.999;15.315;-99.999;15.082;-99.999;13.349;0.024;13.432;0.028;14.065;0.028;13.546;0.030;13.413;0.036;0.3356;0.0137
